Player,Tm,MP,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,TS%,USG%,DBPM,G
Justin Anderson,DAL,485,7.9,0.288,11.8,0.44,6.6,0.77,3,7.7,2.2,1.8,1.2,3.1,4.9,22.4,0.493,23.2,-0.2,
Joakim Noah,NYK,487,0.1,0,9.7,0.474,3.7,0.306,6.9,11.1,6.1,1.5,1.9,2.8,6,10.3,0.452,12.3,3.1,
Isaiah Canaan,CHI,493,8.3,0.259,6.9,0.522,2.6,0.88,0.5,3.7,2.9,1.8,0.1,1.7,3.4,15.9,0.487,15.4,-1.1,
Zach Randolph,MEM,495,2.3,0.227,26.5,0.469,5.5,0.736,5.1,13.7,3.2,1,0.3,2.5,4.7,30.4,0.488,29.5,-0.1,
Jonathon Simmons,SAS,498,3,0.31,10.3,0.49,4.7,0.739,0.7,4.7,4.9,2.2,1,2.9,4.6,16.3,0.533,16.3,1.2,
Isaiah Whitehead,BRK,504,3.7,0.282,9.6,0.461,2.6,0.786,0.6,4.1,6.4,1.4,0.9,4.5,5.4,14,0.486,16.9,-1.2,
Pascal Siakam,TOR,506,0.4,0,12.4,0.548,1.8,0.778,3.7,6.4,1.2,1.5,2.2,1.9,6.4,15,0.552,13.6,1.2,
Joe Ingles,UTA,508,7.1,0.5,4.9,0.553,2.4,0.739,0.2,6.1,5,2.1,0.2,2.3,5.2,17.8,0.683,13.8,0.7,
Dion Waiters,MIA,509,6.1,0.344,16.8,0.399,4.6,0.652,0.7,4.8,6.3,1.5,1,3.5,4.1,22.8,0.455,24.8,-0.5,
Justin Holiday,NYK,513,6.8,0.371,8.4,0.46,2.9,0.833,1.2,6.7,2.9,2.4,1,1.9,4.5,17.7,0.538,16,0.1,
Enes Kanter,OKC,515,2,0.143,21,0.586,8.8,0.796,5.3,9.3,1.8,1.1,2.2,3.4,5.2,32.5,0.604,26.5,-1,
Josh Richardson,MIA,515,9,0.319,9.3,0.468,1.8,0.722,1,4.6,3.5,1.4,0.8,2.2,4.4,18.6,0.487,18.5,-0.4,
Rondae Hollis-Jefferson,BRK,516,2.5,0.222,9.7,0.406,6.3,0.754,1.6,8.6,4.7,2,1.2,2.8,5,14.3,0.477,15.9,1.3,
Patrick Beverley,HOU,518,6.2,0.394,5.6,0.458,1.1,0.667,3,6.5,7.7,2.3,0.8,2.5,5.3,13.3,0.537,13,1.9,
Terry Rozier,BOS,518,6.3,0.323,10,0.427,3.1,0.719,1.4,7.7,4.9,1.6,0.6,1.5,2.8,16.8,0.478,17.1,0.1,
Terrence Ross,TOR,520,10.3,0.434,10.4,0.542,3.2,0.909,0.6,4.4,1.5,2.3,0.8,1,3.6,27.6,0.624,20.4,-1.9,
Jerami Grant,TOT,524,3.3,0.371,8.8,0.489,5.7,0.525,0.8,5.6,1,1.4,2.4,1.5,5,15.2,0.523,14.1,0.8,
Amir Johnson,BOS,524,1.9,0.4,9.9,0.577,3,0.742,3.9,6.5,4.5,1.4,1.5,2.2,6.3,16,0.607,13.7,1.6,
Sam Dekker,HOU,526,6.1,0.369,8.6,0.598,2,0.619,3,7.1,3.2,1.5,0.7,1.9,3.1,18.2,0.587,15.2,0,
T.J. McConnell,PHI,527,1.3,0.143,8.8,0.473,1.6,0.706,1.1,5.3,12.2,3.4,0.3,4,4.3,10,0.463,13.1,0.5,
