Player,Tm,MP,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,TS%,USG%,DBPM,G
Toney Douglas,MEM,107,5.3,0.273,12.1,0.44,2.4,0.8,1,6.8,7.7,2.9,0.5,2.4,4.3,16.9,0.458,18.2,1.6,
Kay Felder,CLE,108,1.8,0.5,16.2,0.4,7.4,0.75,0.9,6,9.7,0.9,0.5,4.2,5.1,21.3,0.5,22.5,-1.6,
Chris Andersen,CLE,114,1.3,0,8.3,0.474,6.1,0.714,3.9,9.6,2.2,2.2,3.1,2.2,8.8,12.3,0.497,12.8,3.6,
Brandon Bass,LAC,118,0.4,1,14.8,0.486,2.5,1,3,5.5,3,0.4,1.3,1.7,5.1,18.2,0.556,16,-0.2,
Jake Layman,POR,118,13.7,0.242,5.8,0.5,3.7,0.778,0.8,4.1,2.5,2.5,0.4,1.7,5,18.6,0.442,20.3,-3.4,
Gerald Green,BOS,120,10.8,0.269,10.4,0.32,3.3,0.75,1.7,7.1,6.7,1.3,0.4,2.9,5,17.9,0.394,22.9,-1.7,
Timothe Luwawu-Cabarrot,PHI,121,4.9,0.25,9.4,0.391,7.4,0.667,0.4,6.2,2.5,2.1,1.2,2.1,7,16,0.454,17.5,-0.2,
Brandon Rush,MIN,121,5.8,0.286,4.2,0.2,0.8,0.5,0,5.8,2.9,0.8,0.8,2.1,2.1,7.1,0.342,10.8,-1.2,
Kevin Seraphin,IND,124,0,,20.2,0.49,1.6,0.5,7.1,10.7,3.2,1.2,2,3.2,5.6,20.6,0.493,21.7,0.5,
Sasha Vujacic,NYK,124,7.6,0.263,5.2,0.462,1.6,0.75,0.8,8,5.6,1.6,0,3.6,6,12,0.444,14.8,-1.2,
Chandler Parsons,MEM,126,8.6,0.238,10.2,0.52,2.5,0.833,0.8,6.6,2,0.8,0.8,3.3,2,18.8,0.473,20.3,-0.7,
Tyler Ennis,HOU,130,4.2,0.364,12.1,0.406,0.8,0.5,1.5,3,9.1,1.9,0,5.7,7.5,14.7,0.444,19.5,-2.3,
Dirk Nowitzki,DAL,131,8.8,0.273,18.1,0.4,2.8,1,0.8,12.1,2.8,1.2,1.2,2,3.6,24.5,0.435,27.1,-0.8,
Anthony Brown,NOP,143,8.2,0.25,5.8,0.471,0,,2.1,6.8,2.1,1.7,0.3,1.7,4.4,11.6,0.415,14.2,-0.2,
Jordan McRae,CLE,144,6.2,0.278,17.3,0.32,2.8,0.875,1,4.5,3.1,1.4,0.7,1.4,4.2,18.7,0.378,23.1,-2.2,
Damjan Rudez,ORL,144,9.5,0.333,2.5,0.571,0,,1.8,4.2,2.5,2.5,0,2.1,6,12.3,0.515,12.5,-0.4,
Nicolas Brussino,DAL,149,7.1,0.3,3.9,0.455,2.5,0.857,1.4,6.7,6.4,2.1,1.1,2.5,4.6,12,0.499,13.1,1.3,
Marcelo Huertas,LAL,150,3.9,0.167,8.4,0.5,3.2,0.5,0.3,4.2,12,2.6,0.3,4.9,3.9,12,0.436,16.2,-2.6,
Rashad Vaughn,MIL,150,11.6,0.343,6.6,0.45,0,,0,4.6,1,1.7,1.3,1,2.7,17.9,0.491,17.1,-1.4,
Yogi Ferrell,BRK,151,8.4,0.296,6.9,0.455,5,0.625,1.3,2.5,5.3,0.6,0.6,4.4,3.4,16.9,0.482,19.6,-3.7,
Tyler Ulis,PHO,154,1.9,0.167,13.6,0.455,4.3,0.786,0.6,2.5,8.3,4.9,0.3,3.7,4,16.7,0.481,18.6,-0.2,
Jakob Poeltl,TOR,160,0,,10.1,0.438,4.7,0.533,7,7,1.3,1.9,1.6,1.3,10.4,11.4,0.466,11.9,0.7,
Lance Stephenson,NOP,162,3,0.1,13.6,0.556,2.4,0.625,0.9,4.5,8.8,0.6,0.3,3.3,5.4,17.5,0.496,19,-2.2,
Devin Harris,DAL,163,7.7,0.292,4.8,0.467,2.6,0.875,1,5.8,5.5,2.6,0,2.9,4.5,13.6,0.494,15,0.4,
Kyle Singler,OKC,163,5.4,0.167,5.1,0.529,2.4,0.875,0.3,5.7,0.9,0.3,0.6,2.4,3.6,10.2,0.441,12.2,-1.6,
Deyonta Davis,MEM,165,0,,10.6,0.588,3.4,0.545,4.7,8.4,0.6,0.3,3.8,2.5,9.1,14.4,0.592,12.8,2.6,
K.J. McDaniels,HOU,170,6.3,0.318,8.7,0.567,1.7,0.833,0.9,5.2,0.6,1.4,2.3,2.3,4.3,17.3,0.549,15.8,-0.4,
Nicolas Laprovittola,SAS,172,7.7,0.385,5.9,0.5,2.7,1,0.3,2.7,8.3,0.9,0.3,5.3,5.6,17.5,0.59,18.1,-3.2,
Gary Harris,DEN,175,5,0.389,13.4,0.563,5.3,0.684,0.8,5.6,5.6,1.4,0.6,1.7,4.5,24.5,0.592,19.2,-1.4,
Thomas Robinson,LAL,178,0,,13.4,0.388,6.3,0.478,6.8,11.2,1.9,2.2,1.1,2.5,6.3,13.4,0.414,16.2,-0.1,
Taurean Waller-Prince,ATL,178,6.6,0.292,8.7,0.5,3.3,0.917,1.1,9,3.3,1.1,1.4,3.3,5.2,17.5,0.522,17.8,0.2,
Darrell Arthur,DEN,179,7.1,0.462,7.1,0.423,0.5,1,1.4,5.2,4.1,0.8,1.1,3.8,6.5,16.4,0.567,15.6,-1,
Jodie Meeks,ORL,179,8.8,0.387,8.8,0.355,6.8,0.875,0.6,4.5,3.7,3.1,0,1.1,2.8,22.3,0.544,19.2,-1,
Andrew Nicholson,WAS,179,2.8,0.1,13.9,0.46,2.8,0.6,1.7,4.4,1.4,1.9,1.1,2.5,7.8,15.3,0.427,18,-1.4,
Mario Hezonja,ORL,185,8.5,0.194,13.1,0.417,2.7,0.7,0.8,5.7,2.7,1.6,0.5,4.4,3,17.8,0.39,24.1,-2.1,
Jose Calderon,LAL,195,6,0.417,7.5,0.533,1,1,1.5,6.2,9,1.2,0.2,5.5,3.7,16.4,0.592,16.9,-2.1,
Jeremy Lin,BRK,196,7.5,0.323,14,0.552,8,0.727,0.5,6,10.8,2.4,1,4.1,1.7,28.4,0.57,26,-1.3,
JaVale McGee,GSW,197,0.2,0,20.9,0.674,9.5,0.462,5.4,8.8,1.7,1.2,3.9,4.4,7.5,32.6,0.643,26.6,0.2,
Jeff Withey,UTA,202,0.3,0,10.2,0.59,5.5,0.762,5,9.1,0.5,2.1,4.7,1.8,6.8,16.2,0.63,13.3,3.6,
Miles Plumlee,MIL,206,0,,8.9,0.459,4.8,0.7,4.4,4.6,3.6,2.2,1.2,4.1,8.5,11.6,0.524,13.5,1.7,
Darrun Hilliard,DET,207,5.7,0.348,10.7,0.419,4,0.75,0.2,3.7,4,1.5,0.2,3.7,6.2,17.8,0.493,19.3,-0.6,
Kris Humphries,ATL,207,4.2,0.333,11.5,0.408,4.9,0.857,4.5,8.5,2.1,0.7,2.1,3.1,4.5,17.8,0.498,18.6,0,
Reggie Jackson,DET,208,7.6,0.355,18.5,0.4,6.2,0.84,0,3.7,9.4,1.2,0.2,3.9,6.2,28.1,0.487,29,-2.2,
Tyus Jones,MIN,208,5.6,0.435,5.8,0.417,3.6,0.933,1.2,4.6,10.4,3.2,0,3.2,3.2,15.5,0.597,14,-1.7,
Kevon Looney,GSW,210,0.7,0.333,10.7,0.681,3.9,0.588,5.3,8.9,2.5,1.1,2.7,1.4,8,17.6,0.67,12.9,1.6,
Denzel Valentine,CHI,218,9.1,0.256,5.1,0.273,1.9,0.875,0.2,7.2,2.3,1.2,0.2,1.6,4.9,11.4,0.38,14.2,-1.1,
Anthony Bennett,BRK,222,8.7,0.268,7,0.576,6,0.714,4.3,9.6,2.1,0.9,0.2,2.3,3.4,19.4,0.527,18.5,-2.8,
Cristiano Felicio,CHI,225,0,,11.7,0.442,3.8,0.647,8.8,8.1,1.8,0.9,0.7,1.6,5.2,12.8,0.479,12.8,-0.4,
Jonathan Gibson,DAL,225,10.1,0.326,11.5,0.408,6.8,0.724,0.2,4.7,6.1,1.9,0,4.9,4.7,24.1,0.492,26.5,-2.2,
Jerian Grant,CHI,228,5.1,0.304,12,0.333,2.7,1,0.4,5.5,4.4,3.3,0.4,1.3,5.1,15.3,0.419,16.7,0.6,
Anthony Tolliver,SAC,229,8.2,0.216,3.7,0.706,2.9,0.923,3.1,6.6,2.9,0.9,1.1,1.8,5.1,13.2,0.502,13.1,-0.3,
C.J. Watson,ORL,229,4.2,0.421,5.5,0.16,3.5,0.813,0.4,4.2,4.4,2.2,0,1.3,2.9,10,0.441,11.2,-0.3,
DeAndre Liggins,CLE,231,1.7,0.625,6.7,0.355,3.9,0.667,1.7,5,4.1,2.2,1.3,3,5.6,10.6,0.522,11.6,2.2,
Alex Abrines,OKC,235,11,0.264,4.8,0.522,2.3,0.909,0.6,3.1,1.7,1,0.2,2.7,3.7,15.8,0.47,17.1,-2.9,
Willie Reed,MIA,235,0,,12.2,0.571,7.4,0.471,8,8,1.3,0.4,1.3,0.9,5.6,17.4,0.564,14.2,-0.9,
Juan Hernangomez,DEN,240,5.3,0.423,5.1,0.44,5.9,0.621,2.4,8.3,2,1.6,1.2,1.4,4.3,14.8,0.572,12.3,0.2,
Davis Bertans,SAS,247,9.1,0.364,2.7,0.538,1.9,0.778,1.4,4.8,2.5,0.6,2.3,1.4,4.6,14.3,0.566,12.6,0.5,
Mindaugas Kuzminskas,NYK,247,9,0.356,8.6,0.419,2.8,0.786,2.6,3.6,3.6,2,0.4,2.2,4,19.1,0.504,18.3,-2.1,
Dragan Bender,PHO,250,8.2,0.302,4,0.476,0.6,0,0.8,5.7,1.3,0.6,1.9,2.5,5.5,11.2,0.452,13.2,-0.4,
Bobby Portis,CHI,251,2.8,0.429,12.3,0.492,4,0.55,5.4,8.9,2.8,0.4,0.8,2.6,5.8,17.9,0.531,16.7,-0.9,
Montrezl Harrell,HOU,255,0.4,0.5,16.7,0.632,2.9,0.533,4.6,7.3,2.1,1.2,2.1,3.1,5.6,23.3,0.633,18.8,0.3,
Alexis Ajinca,NOP,256,0.6,0,14.5,0.5,2.3,0.75,3.6,11.1,1,1.3,2.3,3.1,6.1,16.2,0.504,17.3,0.9,
Jason Smith,WAS,263,0.4,0.5,14.6,0.468,0.8,1,3,7.4,1.3,1.5,1.5,3.8,9.5,14.9,0.489,16.8,-0.4,
Derrick Williams,MIA,265,6.4,0.152,13.1,0.515,7.3,0.605,2.3,6,1.2,1.2,0.8,1.3,3.5,20.8,0.459,20.9,-2.1,
Trey Burke,WAS,270,3.7,0.45,14.7,0.45,2.6,0.643,0.6,1.3,5.5,0.9,0.4,2.4,3.9,19.9,0.509,19.4,-4.5,
Wesley Johnson,LAC,271,7.4,0.3,5.1,0.5,0.9,1,2,10.7,1.7,1.7,2.2,1.7,7.2,12.7,0.491,13,2.2,
Jeremy Lamb,CHO,272,6.6,0.222,15.9,0.575,6,0.818,2.4,13.7,2.9,0.9,1.1,2.6,3.8,27.5,0.549,24.8,-0.4,
Noah Vonleh,POR,272,3.4,0.316,9.3,0.423,3.1,0.706,3.2,11,0.7,1.1,1.6,3.4,6.6,13.3,0.471,15.6,-1.9,
Randy Foye,BRK,280,8.9,0.321,4.9,0.379,1.9,0.818,0.2,6.6,5.6,1,0.5,3.9,3.9,13.8,0.472,16.6,-1.7,
Mike Dunleavy,CLE,285,8.4,0.313,4,0.435,3,0.765,0.4,5.6,2.8,0.9,0.4,1.2,3.5,13.7,0.497,13.2,-0.9,
Lance Thomas,NYK,286,4.9,0.429,9,0.346,1.6,0.889,0.9,4.9,0.9,1.6,0.5,1.7,3.6,13.9,0.476,14.1,-1.6,
Al-Farouq Aminu,POR,289,7.9,0.234,6.4,0.368,3.5,0.476,1.9,10.8,3.5,2.5,1.4,3,2.7,12,0.377,16.9,0.9,
Wade Baldwin,MEM,290,3,0.118,11.4,0.375,5,0.821,1.2,4.3,7.7,2.3,1.1,5.3,5,13.7,0.413,19.2,1.3,
Willie Cauley-Stein,SAC,292,0.2,0,15.7,0.56,4.7,0.481,3.6,5.2,1.4,1.9,1.4,2.4,9,19.9,0.554,17.9,-0.2,
J.J. Barea,DAL,298,8.3,0.383,13.4,0.434,4.9,0.964,0.7,4.8,8.7,1.1,0.2,3.2,1.4,26,0.543,24.4,-1.9,
Patrick McCaw,GSW,298,6.3,0.359,4.8,0.433,1,0.5,1.1,3.2,4,1.6,1.1,2.3,3.7,11.4,0.496,12.3,-0.1,
Luis Scola,BRK,298,4.4,0.321,11.3,0.549,4.3,0.63,5.4,9,3.6,1.4,0.6,3.8,6.5,19.3,0.55,19.1,-0.7,
Derrick Favors,UTA,303,0.3,0.5,18.5,0.472,7.7,0.636,2.8,11,1.2,2.1,3,2.8,5.2,22.8,0.514,22.6,1.9,
David West,GSW,304,0.5,0.667,13.4,0.518,3.8,0.667,3,8.8,8,2.5,2.5,5,6.8,17.4,0.558,18.4,3.5,
Tyler Zeller,BOS,304,0.2,0,15.6,0.463,3.6,0.591,4.6,8.2,4,0.8,2.5,1.6,5.4,16.6,0.478,17,1.5,
Dewayne Dedmon,SAS,311,0,,12.3,0.573,3.8,0.652,5.1,14.5,1.1,1.6,3.9,1.8,8,16.6,0.593,14.2,3.3,
Tomas Satoransky,WAS,312,2.7,0.118,8.4,0.491,2.7,0.647,1.3,3.8,7.7,1.6,0,2.7,5.1,11,0.445,13.3,-1.7,
Luke Babbitt,MIA,314,9.9,0.311,4.2,0.346,1.1,0.714,0.8,5.2,1.5,1.3,0.2,1.3,3.9,13,0.444,13.9,-1.2,
Salah Mejri,DAL,317,0.3,0,7.3,0.659,2,0.583,4.6,12,1.2,2.5,3.8,2.3,8.5,10.8,0.634,9.7,5.4,
Kyle Anderson,SAS,318,1.8,0.455,5.9,0.405,2.9,0.833,1.6,8.5,3.2,2.2,1.1,1.4,2.6,9.6,0.536,9.4,2.9,
Channing Frye,CLE,318,13.3,0.471,7.1,0.4,2.7,0.941,1.1,6.7,2,1.3,1.6,1.7,5.2,27,0.626,20.6,-1,
Willy Hernangomez,NYK,318,0.3,0.5,15,0.573,4.7,0.733,5.3,12.5,3.1,1.4,2,4.7,5.8,21.1,0.607,19.1,1.1,
