Player,Tm,MP,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV-,PF-,PTS,TS%,USG%,DBPM
Al-Farouq Aminu,POR,289,74,22,14,4,44,3,58,89,50,89,75,39,92,8,0,37,70
Mason Plumlee,POR,798,7,0,74,79,76,7,78,79,84,54,84,42,35,46,58,45,83
Maurice Harkless,POR,870,54,66,42,86,15,66,72,32,6,68,63,74,44,57,77,40,29
C.J. McCollum,POR,989,76,94,84,51,65,93,39,12,70,41,49,37,57,92,84,89,4
Damian Lillard,POR,1030,89,70,84,68,97,91,19,38,87,28,25,19,74,98,89,97,2
Arron Afflalo,SAC,539,36,42,37,26,42,93,8,18,23,6,4,100,79,27,35,17,16
Kosta Koufos,SAC,545,7,0,63,80,15,4,93,84,8,28,78,57,18,22,55,21,67
Ty Lawson,SAC,677,33,43,37,14,35,50,51,12,91,89,9,21,82,17,12,32,46
Rudy Gay,SAC,771,48,58,85,52,85,77,43,68,64,86,59,29,64,87,65,86,67
DeMarcus Cousins,SAC,898,62,63,98,42,99,48,77,95,68,61,85,10,21,99,60,99,79
Danny Green,SAS,469,78,91,0,84,6,43,3,34,59,41,73,85,67,21,96,5,73
Tony Parker,SAS,480,21,59,82,37,42,85,10,3,92,12,4,32,67,59,38,66,7
Pau Gasol,SAS,685,23,94,87,64,57,13,71,96,71,7,87,60,85,72,57,71,92
LaMarcus Aldridge,SAS,765,19,94,95,39,81,72,75,65,38,28,81,48,67,82,51,85,65
Kawhi Leonard,SAS,898,68,78,92,61,96,95,56,61,66,95,49,48,99,97,87,96,67
DeMarre Carroll,TOR,570,86,62,14,77,45,30,43,34,17,73,49,100,52,52,68,28,42
Jonas Valanciunas,TOR,695,0,0,88,76,70,71,95,93,10,12,73,42,35,70,82,60,42
Patrick Patterson,TOR,774,74,66,2,6,14,32,61,69,42,61,39,97,47,13,36,8,67
DeMar DeRozan,TOR,956,23,33,100,62,98,78,43,49,76,61,4,17,94,99,75,99,18
Kyle Lowry,TOR,1002,89,93,43,31,86,79,43,32,93,68,25,15,60,88,91,82,31
George Hill,UTA,360,79,95,65,91,79,88,10,32,80,64,15,67,64,93,98,82,36
Boris Diaw,UTA,415,32,29,20,83,4,90,56,18,74,1,0,21,52,10,49,16,42
Rodney Hood,UTA,733,93,64,63,54,60,59,8,53,50,34,25,70,52,85,58,84,31
Gordon Hayward,UTA,746,70,66,85,44,97,83,19,74,74,54,39,29,92,95,78,95,59
Rudy Gobert,UTA,912,0,0,39,99,94,26,91,97,8,17,99,48,25,59,99,26,98
Markieff Morris,WAS,790,29,48,77,24,74,60,61,58,40,73,59,37,37,62,34,69,55
Bradley Beal,WAS,807,89,86,75,54,85,65,26,4,68,41,25,64,82,93,82,88,2
John Wall,WAS,868,43,66,96,43,94,64,43,26,99,97,49,1,79,94,60,98,57
Otto Porter,WAS,897,43,83,39,95,13,51,68,65,23,91,44,96,57,54,91,25,70
Marcin Gortat,WAS,923,7,0,56,87,37,15,88,93,26,7,78,70,38,26,78,15,78
